Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,78.105,-30.48,90,top
C2,10u,C_0402_1005Metric,83.82,-31.369,-90,top
C4,10u,C_0402_1005Metric,86.995,-26.67,90,top
C5,22u,C_0603_1608Metric,93.345,-27.94,-90,top
C11,10u,C_0402_1005Metric,203.355,-40.64,0,top
C14,10n,C_0402_1005Metric,70.485,-52.07,-90,top
C15,22u,C_0603_1608Metric,124.162091,-44.958,0,top
C16,10u,C_0402_1005Metric,124.162091,-42.252454,0,top
C17,10u,C_0402_1005Metric,115.272091,-38.442454,-90,top
C18,22u,C_0603_1608Metric,154.043091,-45.575454,0,top
C19,10u,C_0402_1005Metric,154.007091,-42.922454,0,top
C20,10u,C_0402_1005Metric,123.98,-50.8,0,top
C21,10u,C_0402_1005Metric,160.147,-27.94,0,top
C22,10u,C_0402_1005Metric,113.665,-74.295,0,top
C23,10u,C_0402_1005Metric,127,-88.265,0,top
C24,10u,C_0402_1005Metric,147.32,-88.265,0,top
C25,10u,C_0402_1005Metric,160.655,-74.295,0,top
D2,5.6,D_SOD-123,74.93,-34.29,90,top
R1,4.7k,R_0402_1005Metric,76.2,-27.305,-90,top
R2,2k,R_0402_1005Metric,82.804,-25.146,90,top
R3,2.2k,R_0402_1005Metric,167.765,-23.495,0,top
R4,330,R_0402_1005Metric,167.765,-20.955,0,top
R5,100k,R_0402_1005Metric,89.389,-31.75,180,top
R6,100k,R_0402_1005Metric,91.929,-31.75,0,top
R7,10k,R_0402_1005Metric,189.23,-52.705,0,top
R8,10k,R_0402_1005Metric,189.23,-55.245,0,top
R9,100k,R_0402_1005Metric,189.865,-42.42,-90,top
R10,100k,R_0402_1005Metric,208.915,-43.69,90,top
R11,100k,R_0402_1005Metric,189.865,-45.595,-90,top
R12,100k,R_0402_1005Metric,208.915,-46.865,90,top
R13,100k,R_0402_1005Metric,199.771,-33.909,0,top
R14,100k,R_0402_1005Metric,189.738,-33.909,0,top
R15,100k,R_0402_1005Metric,68.58,-52.07,90,top
R16,100k,R_0402_1005Metric,68.58,-64.135,-90,top
R17,100k,R_0402_1005Metric,85.09,-64.135,-90,top
R18,100k,R_0402_1005Metric,68.58,-76.835,-90,top
R19,100k,R_0402_1005Metric,85.09,-76.835,-90,top
R20,100k,R_0402_1005Metric,68.58,-89.535,-90,top
R21,100k,R_0402_1005Metric,85.09,-89.535,-90,top
R22,100k,R_0402_1005Metric,68.58,-102.235,-90,top
R23,100k,R_0402_1005Metric,85.09,-102.235,-90,top
R24,100k,R_0402_1005Metric,70.485,-131.445,-90,top
R25,100k,R_0402_1005Metric,70.485,-142.875,-90,top
R26,100k,R_0402_1005Metric,86.995,-120.015,-90,top
R27,100k,R_0402_1005Metric,92.075,-142.875,-90,top
R28,100k,R_0402_1005Metric,99.695,-131.445,-90,top
R29,100k,R_0402_1005Metric,107.315,-142.875,-90,top
R30,100k,R_0402_1005Metric,114.935,-131.445,-90,top
R31,100k,R_0402_1005Metric,122.555,-142.875,-90,top
R32,100k,R_0402_1005Metric,137.795,-142.875,-90,top
R33,100k,R_0402_1005Metric,145.415,-131.445,-90,top
R34,100k,R_0402_1005Metric,153.035,-142.875,-90,top
R35,100k,R_0402_1005Metric,160.655,-131.445,-90,top
R36,100k,R_0402_1005Metric,168.275,-142.875,-90,top
R37,100k,R_0402_1005Metric,175.895,-131.445,-90,top
R38,100k,R_0402_1005Metric,183.515,-142.875,-90,top
R39,100k,R_0402_1005Metric,208.28,-100.965,-90,top
R40,100k,R_0402_1005Metric,194.945,-100.965,-90,top
R41,100k,R_0402_1005Metric,194.945,-123.825,-90,top
R42,100k,R_0402_1005Metric,181.61,-112.395,-90,top
R43,100k,R_0402_1005Metric,208.28,-112.395,-90,top
R44,100k,R_0402_1005Metric,186.69,-67.945,-90,top
R45,100k,R_0402_1005Metric,203.2,-67.945,-90,top
R46,100k,R_0402_1005Metric,186.69,-83.82,-90,top
R47,100k,R_0402_1005Metric,203.2,-83.82,-90,top
R48,100k,R_0402_1005Metric,85.09,-51.435,-90,top
R49,100k,R_0402_1005Metric,194.945,-112.395,-90,top
